time,avg duration (FPR 0.001),# matched txs (FPR 0.001),# processed txs (FPR 0.001),# matched bytes (FPR 0.001),# processed bytes (FPR 0.001),# last tx hash (FPR 0.001)
"6/20/2024, 4:17:30 PM",155.4,10295,100,58162052,471630,pwJPCGq1PDA6BZxHoFiooc3fVty5A1xLb7gC56v0f1E=
"6/20/2024, 4:17:48 PM",171.46,21466,200,116856717,908767,LVf8dA7G+KatJeRc3Zz4vcMS1E1L0ASgfyeZZvw7XGk=
"6/20/2024, 4:18:05 PM",170.62,32510,300,202463322,1520739,nNkH59IPTOx8pHJY22V/Za+k1f64ErT1QJ2xDGl/x5s=
"6/20/2024, 4:18:21 PM",152.72,43078,400,259888304,2008714,viGRa51+6JblShIorewk4XWoqxuvKnj0VGKrYLt0WFM=
"6/20/2024, 4:18:37 PM",155.02,54029,500,326731438,2528338,DE+5DSrIWIGwwGjCq6IRoWPD1xuitLjIGlrKKZge3O8=
"6/20/2024, 4:19:02 PM",246.08,65496,600,408459792,3123322,ZIIKYnaGFY1U3R5aaJ+jE7ebQUQuDk3e+XJZ9Id6/2g=
"6/20/2024, 4:19:18 PM",157.76,75756,700,470014131,3548259,iFIw3eOm5ZBWEl+TlE3qerQsLAFYFAmrRsUmgKSuvZc=
"6/20/2024, 4:19:39 PM",200.56,86918,800,540407956,4044264,BKX94nAhWqBzcdPU0Yhv3/+Lpyc1CSTLXzIAlAQtXp4=
"6/20/2024, 4:19:58 PM",185.12,98142,900,609176274,4513982,TQExcBJukD+GwSDzqpkVaiMEHgnde8i/TqRPSq31Ou4=
"6/20/2024, 4:20:14 PM",161.88,108540,1000,654609723,4856675,l7fj8RcKzgB2kXxBgY59F36b2nnOp+xmOpz/ACPQH2E=
"6/20/2024, 4:20:47 PM",323.86,119223,1100,713716070,5257754,TAjj5u/kAIuyIylZElsYgS95u2fnYGF+HAFKNLBR1TY=
"6/20/2024, 4:21:13 PM",246.74,130483,1200,797073607,5830299,HQK5Wv92/NSCIxByNW+9kclg6WLDbDIgd7K4N8cw1hE=
"6/20/2024, 4:21:40 PM",264.48,140187,1300,845496161,6232198,ez9v+H+9yagXF7srSrfpKG4n7FoPNUJeCFdoPHvONA8=
"6/20/2024, 4:22:11 PM",298.88,152255,1400,912050942,6694009,lns6wvz7jzMouh6v/PKWknVcph6gCJ78jUhselqYT0Y=